Slur,Represents,Origin,
10% Off,Jews,"Refers to circumcision and consumerism (never pay retail). The term is most widely used in the UK where circumcision among non-Jews or non-Muslims is more rare, but in the United States, where it is more common, it can be considered insulting to many non-Jewish males as well."
51st Stater,Canadians,Canada is so culturally similar to the U. S. that they are practically the 51st state
539,Jews,Corresponds with the letters J-E-W on a telephone.
7-11,Arabs,Work at menial jobs like 7-11 clerks.
8 Mile,Whites,"When white kids try to act ghetto or ""black"". From the 2002 movie ""8 Mile""."
925,Blacks,"Police Code in Suburban LA for ""Suspicious Person"""
A.I.,Americans,Stands for American Ignorance as well as Artificial Intelligence-in other words...Americans are stupid and ignorant. they think they have everything and are more advanced than every other country
AA,Blacks,"African American. Could also refer to double-A batteries, which you use for a while then throw away."
Abba-Dabba,Arabs,"Used in the movie ""Betrayed"" by rural American hate group."
ABC,Chinese,American-Born Chinese. An Americanized Chinese person who does not understand Chinese culture.
ABC,Australians,"Aboriginals use it to offend white australians, it means ""Aboriginal Bum Cleaner"""
ABCD,Indians,Means American Born Confused Desi (pronounced day-see). Used by Indians to describe American-born Indians who are confused about their culture. (Desi is slang for an 'countryman'). Also BBCD - British Born Confused Desi.
Abco,Australian Aboriginals,Aboriginals being alcoholics
Abdul,Arabs,Common name.
Abe Lincoln,Whites,Former United States president hailing from the caucasian sector of race.
Abeed,Blacks,"Arabic term that means Black, many Middle Eastern immigrants to the United States use this"
Abi-Dabi,Arabs,"A mispronunciation of the capitol city of The United Arab Emarites, which is Abu-Dhabi"
Abo,Australian Aboriginals,"Short for Aboriginal, they take offense to it"
Ace Of Spades,Blacks,Self Explanatory
Adolf,Germans,"Hitler, of course. Generally thought of the worst person ever."
African,Blacks,Home continent.
African't,Blacks,Unemployed/lazy Blacks
Africoon,Blacks,Combination of African and Coon.
Afro,Blacks,Referring to hairstyle
Afro-Saxon,Whites,Young white men who act black.
Agent Orange,Vietnamese,Agent Orange was a defoliant used in Vietnam.
Ahab,Arabs,"From the song ""Ahab, the A-rab"""
Aibu,Whites,"Nigerian word for White people. Pronounced Oyee-bo. Not necessarily a slur nor derogatory, but rather a direct translation."
Ainu,Japanese Aboriginals,"Originally, a word for the native Japanese islanders from Hokkaido, but now means roughly a ""primitive"" person. Usually look more European than their Japanese counterparts, i.e., more hairy and fair skinned. Not really derogatory."
Akata,Black Americans,"West African (Yoruba) term for African-Americans. Meaning ancestors of slaves or ""cotton picker""."
Aladdin,Arabs,One Thousand and One Nights
Albino,Whites,Albinos are white.
Albo,Albanians,Self Explanatory
Alcoholic,Native Americans,Known to have a hard time handling their liquor.
Alphabet,Arabs,Many names seem to use every letter of the alphabet.
Ame-koh,Americans,Term for Americans used by Japanese.
American't,Americans,Americans are stereotypically lazy.
Americoon,Blacks,Combination of American and Coon.
Americunt,Americans,Self Explanatory
AmeriKKKan,Americans,Reference to inherent racism in US society. Entered the language as a part 1960s counter-cultural slang.
Amerikos,Americans,Russian deragatory term for a dumb American
AMF,Jews,"Short for ""Arbeit Macht Frei"" (Work Brings Freedom) which was on the gates of the concentration camp Auswitz"
Ami,Americans,"This is just a German abbreviation. By itself it is not derogatory. Scheiss-Ami = Shit American, obviously derogatory."
Amigo,Hispanics,Self-explanatory.
Anchor Baby,Mexicans,"Children of parents who crossed the border illegally; A reference to their adulthood. At that time, they will be able to become the family ""anchor"" to legally bring in the rest of the family."
Ancient Chinese Secret,Chinese,From a 1970s TV commercial for Calgon stereotyping all laundry services are run by Chinese immigrants (link)
Angie,Canadians,"English-speaking Canadians. Short for ""Anglophone"" and used in Quebec, especially for Anglophones in Quebec province itself. Also: Anglo"
Anglo,Whites,A term used by Mexicans and other non whites in Texas to describe whites in a derogatory fashion.
Angus,Blacks,Angus are a black breed of beef cattle.
Ant,Antarcticans,Self-explanatory.
Antique Farm Equipment,Blacks,Slaves being used for labor.
Ape,Blacks,Self Explanatory.
Apna,Indians,"Hindi/Punjabi slang meaning ""our guy,"" and referring to a male of their own race. ""Apni"" refers to Indian females. Used in areas of Punjabi immigrants."
Apple,Native Americans,Used by Native Americans as derogatory for other Native Americans who are red on the outside but white on the inside.
Apple,Blacks,"Has to do with ""hanging from a tree""."
Apu,Indians,"Hindu character from The Simpsons. Before that, one of the most famous films out of India was the ""Apu Trilogy."""
Ararat,Armenians,"Mount Ararat is the tallest peak in Armenia, and it is said that Noah's Ark landed on it during the great flood. Ararat is in ""historic"" Armenian, but the region currently belongs to Turkey"
Aravi,Arabs,Hebrew word for arabs
Arf,Blacks,African Rock Fish. Jones Beach (NYC) term for Blacks due to their poor swimming abilities.
Argie,Argentinans,Self-explanatory
Arm Pits,Armenians,"False acronym for the Hollywood based street gang called AP, which stands for Armenian Power"
Armo,Armenians,Short for Armenian.
Aryan,Whites,"The name Hitler used to refer to his blonde-haired, blue-eyed ""Master Race."" Can be used towards racist whites who don't think they're racist."
Ashy,Blacks,When their skin gets dry it can tend to look ashy.
Atta,Arabs,"Taken from the 9/11 terrorist who flew a plane into the World Trade Center, Mohammed Atta"
Aunt Jemima,Blacks,"After the stereotypically Black trademark picture on ""Aunt Jemima"" brand breakfast foods."
Ayatollah,Persians,"A religious leader amongst Shiite Muslims. More specifically, it would refer to Iranians."
Azn,Asians,"Asians that spend too much time online and hence use ""l33t"", the ""hacker"" language"
Babar,Indians,"From the character Babar the Elephant. First appeared in the book ""Babar the King"" published in 1963 and made into a popular animated HBO show in the early 90's. It's about an Indian elephant character growing up."
Baboomba,Blacks,"From the ""booming"" of their car stereos."
Baboon,Blacks,Another simian reference
Babu,Indians,"Means ""child"" in Hindi.

Getting multiple ""definitions"" for this word."
Baby-Muncher,Chinese,The Chinese ate their babies because of their poverty stricken homes and to keep down the population.
Bacardi,Puerto Ricans,Bacardi - Puerto Rican Rum
Bacon Bits,Whites,White Trailer Trash that have sex with Pigs
Bagel-Dog,Jews,"From Kosher ""bagel dogs"" - a Kosher sausage inside of a bagel."
Bahadur,Nepalese,"Bahadur, means brave, has become a derogatory term for Nepali servants. They are also called Gaurkhs."
Bai Tou,Whites,"Mandarin Chinese term meaning ""white head""."
Baijo,Whites,"Japanese term meaing strangers, used in a hostile way."
Bak Guiy,Whites,"Cantonese for ""white ghost."""
Balsero,Cubans,"Spanish for ""rafter"""
Balt,Lithuanians,"From ""Baltic"""
Baluba,Blacks,Name belonging to a tribe that killed Irish soldiers in Africa.
Baluga,Blacks,"Filipino equiv. to Nigger, known by all Filipinos"
Bamboo Coon,Chinese,Bamboo grows in China.
Ban,Hispanics,CuBANS. See also: Can
Banana,Asians,"An Asian American who has lost their heritage. Yellow on the outside, white on the inside."
Banana Bender,Australians,Austrlian slang term for a useless person living in the state of Queensland.
Bananame,Asians,"""Banana"" and ""anime."" Refers to Asians, esp. Filipinos, who are fixated on Japanese pop culture(anime, music, etc.), only date Japanese, try to be Japanese."
Bandwidth Nigger/Whore,Asians,"Represents Asians who, instead of using the Asian video game servers they are assigned, jump to a US server and hog the bandwidth of US users."
Banjo Lips,Blacks,Big lips
Bantu,Blacks,Comes from the apartheid racial classification for Blacks. Rarely used today. Derogatory
BAP,Blacks,"Means ""Black American Princess"". Arrogant female blacks who flaunt their money around and demand the finest things in life."
Bar Code,Jews,"Jewish prisoners were tattooed with a number on their arm while in concentration camps. While the bar code was not invented(or at least patended) until after the war, this is a slur in common, although incorrect, usage."
Bara,Arabs,Arab spelled backwards.
Bargain Korean,Hawaiians,"Hawaiians are sometimes confused for asian, but are not quite right."
Bat-gwai/Bai-guei,Whites,"""Bat-gwai"" is the Cantonese for ""white ghost;"" or as we more commonly hear it translated, ""white devil."" It may be worth noting that white is the color of death and mourning in China, as black is in Europe and America."
Batman,Arabs,Women of the Islamic faith who wear a cape(loosely) and mask similar to that of Batman.
Bay Frog,Canadians,Hudson Bay + Frog. Specifically refers to French descendents from Quebec
Bazi,Germans,"""Bazi"" is a Bavarian/Southern German term for a loveable crook. Pronounced ""baht-see"""
BBC,Chinese,British Born Chinese. A British Chinese person who may or may not understand Chinese culture. BBC is also a major television network in Great Britain.
BBK,Blacks,"Big Black Cocks. Spelled with a K, as in the Korn song of the same title."
BDN,Blacks,"""Big Dummy Nigger"" Comes from the movie ""The Green Mile"". A white prisoner calls a black prisoner a Big Dummy Nigger."
Beach-Nigger,Whites,Overly-tanned people/surfers.
Bean Bandit,Hispanics,They eat beans.
Bean Burrito,Hispanics,Common Hispanic food is bean burritos and the coloring of the beans is similar to the coloring of their skin.
Bean Dipper,Whites,"White men, or any non-hispanic, who date hispanic women."
Beanbag,Hispanics,Another slur based on the Hispanics consumption of beans
Beaner,Hispanics,Because they are known to have a lot of beans in their diet and are also hired many times to pick beans for (sometimes less than) minimum wage.
Beaner Ball,Hispanics,Soccer is quite popular in Mexico and South America.
Beaner Shnitzel,Mixed Races,German/Hispanic mix
Beaniard,Hispanics,"Refers to the Spanish origin ""Spaniard"" mixed ""Bean"", with a commom food in many Mexican dishes."
Beanie,Jews,Referring to the yarmulke.
Bear,Blacks,Black Educated And Rich
Beastie Boy,Jews,"Jews who act Black, like the Jewish rap group The Beastie Boys."
Beaver-Beater,French Canadians,Fur trade.
Bebe's Kids,Blacks,Reference to a stand up comic's famous bit about Bebe's kids that inspired a movie years later.
Bed Time,Asians,Reference to their eyes.
Bee-Keeper,Afghans,"Because Arab women are clothed from head to toe, even their faces, and they look like bee keepers."
Beecher,Whites,"For white people who kowtow to Black people or racist White People. Derived from the show ""Oz"" on HBO, where the character Beecher was raped and sodomized by Blacks and Racist whites."
Beggar,Blacks,"Black people often want ""something for nothing."""
Belegana,Whites,"Navajo term which roughly translates to ""silly white person"""
Belgie,Belgians,Shortening of word
Bennie,Falkland Islanders,The Islanders were named after a less than academically gifted character (Benny) in a mediocre British TV soap (Crossroads) by British troops stationed on the Islands after the failed Argentinian invasion.
Bergie,Blacks,Originally referring to the primarily coloured hobos who live on Table Mountain near Cape Town.
Berry Picker,Hispanics,"Refers to Hispanics who would work berry fields in California, specifically illegal immigrants, as their employer didn't have to pay them as much."
BET,Blacks,Black Entertainment Television
Betty,Vietnamese,Bouncing Bettys in Vietnam War
Betty Crocker,Whites,Refers to white women in general
Beur,Arabs,"Verlan (French slang) for ""reube"", which is itself verlan for ""Arabe"". Usually used for children of migrants from Maghreb settled in France in the 60-70's. Not inherently derogatory."
BFI,Native Americans,"The ""Big Fucking Indian"" at the back of the bar you dont want to piss off."
BFI,Blacks,"BFI, the name of a waste disposal company, is on the side of their dumpsters. Stands for Black Family Inside."
Bhindu,Indians,"Similar to ""hillbilly"" or simpleton. Bindu is a Sanskrit word meaning drop. The word bindi, which is the typical ""red dot"" worn on the forehead of Indian men and women, comes from this word."
Bhrempti,Indians,Their pronunciation of the number 20.
Bible-Shortener,Jews,"Seen on a Conan O'Brien sketch ""Rednecks' Favorite Euphemisms for Jews,"" backwards refers to the difference between the Christian Bible and the Jewish one. The Christian Bible includes the ""New Testament"" whereas the Jewish Bible does not."
Bic-Needer,French,Most likely because French women don't tend to shave there arm pits and legs.
Big Mac,Scottish,A large Scottish man.
Big Nose,Jews,Refers to how Jews are said to have large noses.
Big Nose,Whites,Term used by Asians when refering to westerners because of their larger noses
Big Red,Native Americans,A fat native person. Refference to the gum with the same name.
Billy Reuben,Blacks,"The pigment that makes feces brown is called ""bilirubin"""
Bin Laden,Arabs,Self-explanatory
Binder,Indians,slang for turbin
Bindi,Indians,From the dot that Hindu women wear on their foreheads.
Bingo,Bengalis,"Derogatory, used by Indians and Pakistanis"
Bingo-Bongo,Blacks,Italian wordplay of African names/language
Bink,Mixed Races,"Black/Chinese Mix. Black person with Chinese or ""Chink"" blood"
Bipty,Indians,"When an Indian gives you change at 7-11, they sound like they're saying, ""Here is one dollar and bipty cents."""
Bird Shit,Whites,Because bird shit is mainly white
Bird Turd,Whites,Bird shit is white.
Biscuit Head,Koreans,"KATUSAS - Koreans augmented to the United States Army, commonly referred to as Biscuit Heads by American GI's, because of their square heads."
Biscuit Lip,Blacks,Reference to large lips.
Bix Nood,Blacks,"From a racist cartoon spread on the internet where a black man is breaking into a house saying ""mup da doo ditta po mo BIX NOOD"""
Bjork,Icelanders,She's the Icelander everyone knows.
Black Barbie,Blacks,Refers to a black woman when she wears her hair and makeup to try and look like a white woman.
Black Bean,Mixed Races,Mexican/Black. Self Explanitory
Black Dagos,Italians,Believed that some Sicilians are part Black.
Black Magic,Blacks,"""It has always fascinated researchers how the black folk manage to get there hands on grog money daily."" Specific words of the original submitter, of which I am fascinated by."
Black Time,Blacks,Perceived tendency for Blacks to be late
Blackanese,Mixed Races,Black/Asian mix; from a line by Chris Tucker in Rush Hour 2
Blackfoot,French,"Possible reference to French-Indian War and/or WW1 and the general sense of French cowardess during wars. Since they had no boots due to the trenches eating them away, when they ran their feet became all covered in mud. Or French born in North Africa."
